,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,class
0,0.966,https://api.spotify.com/v1/audio-analysis/3RYbXTVdT6XtRkr36XZWrc,0.848,136427,0.0547,3RYbXTVdT6XtRkr36XZWrc,0.0,9,0.144,-16.004,0,0.056,109.856,4,https://api.spotify.com/v1/tracks/3RYbXTVdT6XtRkr36XZWrc,audio_features,spotify:track:3RYbXTVdT6XtRkr36XZWrc,0.319,1
1,0.264,https://api.spotify.com/v1/audio-analysis/1aSZICCOHtLKWjGYYgkgBW,0.714,223040,0.876,1aSZICCOHtLKWjGYYgkgBW,8.21e-05,9,0.104,-5.834,1,0.0536,147.984,4,https://api.spotify.com/v1/tracks/1aSZICCOHtLKWjGYYgkgBW,audio_features,spotify:track:1aSZICCOHtLKWjGYYgkgBW,0.832,1
2,0.484,https://api.spotify.com/v1/audio-analysis/1oHmG0JJi1U0OEWDO0ZLtf,0.511,212680,0.726,1oHmG0JJi1U0OEWDO0ZLtf,1.16e-05,4,0.807,-7.069,0,0.0452,145.043,4,https://api.spotify.com/v1/tracks/1oHmG0JJi1U0OEWDO0ZLtf,audio_features,spotify:track:1oHmG0JJi1U0OEWDO0ZLtf,0.707,1
3,0.769,https://api.spotify.com/v1/audio-analysis/6wsutjN16jat9ip9JFfdLX,0.519,222133,0.489,6wsutjN16jat9ip9JFfdLX,0.000147,4,0.368,-8.396,1,0.0325,102.349,4,https://api.spotify.com/v1/tracks/6wsutjN16jat9ip9JFfdLX,audio_features,spotify:track:6wsutjN16jat9ip9JFfdLX,0.456,1
4,0.584,https://api.spotify.com/v1/audio-analysis/6fitB3zIBx8UybcuZg2ADv,0.602,282173,0.466,6fitB3zIBx8UybcuZg2ADv,0.000651,5,0.0964,-11.393,1,0.108,96.304,4,https://api.spotify.com/v1/tracks/6fitB3zIBx8UybcuZg2ADv,audio_features,spotify:track:6fitB3zIBx8UybcuZg2ADv,0.0351,1
5,0.73,https://api.spotify.com/v1/audio-analysis/5bMWY1u9ghi4X6fIAsQRaC,0.325,216611,0.271,5bMWY1u9ghi4X6fIAsQRaC,0.0,7,0.301,-8.069,1,0.0418,71.855,4,https://api.spotify.com/v1/tracks/5bMWY1u9ghi4X6fIAsQRaC,audio_features,spotify:track:5bMWY1u9ghi4X6fIAsQRaC,0.279,1
6,0.922,https://api.spotify.com/v1/audio-analysis/1YKy9m6mpAxJTM3fDLbKAm,0.277,190219,0.198,1YKy9m6mpAxJTM3fDLbKAm,1.32e-05,0,0.123,-12.21,1,0.0393,111.748,3,https://api.spotify.com/v1/tracks/1YKy9m6mpAxJTM3fDLbKAm,audio_features,spotify:track:1YKy9m6mpAxJTM3fDLbKAm,0.106,1
7,0.101,https://api.spotify.com/v1/audio-analysis/4XjT6LdUtPUUORaqSZXyuT,0.792,247507,0.741,4XjT6LdUtPUUORaqSZXyuT,2e-05,10,0.0592,-5.327,0,0.0321,122.067,4,https://api.spotify.com/v1/tracks/4XjT6LdUtPUUORaqSZXyuT,audio_features,spotify:track:4XjT6LdUtPUUORaqSZXyuT,0.789,1
8,0.00191,https://api.spotify.com/v1/audio-analysis/3qUO8HZ53JhMzj1nFwvkQn,0.612,110347,0.578,3qUO8HZ53JhMzj1nFwvkQn,8.95e-06,8,0.312,-7.678,0,0.0429,143.937,4,https://api.spotify.com/v1/tracks/3qUO8HZ53JhMzj1nFwvkQn,audio_features,spotify:track:3qUO8HZ53JhMzj1nFwvkQn,0.524,1
9,0.0139,https://api.spotify.com/v1/audio-analysis/1Bu2sGIK0oPfqTRRUm1GuX,0.56,170373,0.852,1Bu2sGIK0oPfqTRRUm1GuX,0.0,2,0.153,-2.71,0,0.0285,95.972,4,https://api.spotify.com/v1/tracks/1Bu2sGIK0oPfqTRRUm1GuX,audio_features,spotify:track:1Bu2sGIK0oPfqTRRUm1GuX,0.58,1
10,0.0437,https://api.spotify.com/v1/audio-analysis/6k8Lkgsd8Zh6Htdb5Zu4Hi,0.747,196347,0.851,6k8Lkgsd8Zh6Htdb5Zu4Hi,0.0,11,0.0512,-3.875,1,0.115,100.008,4,https://api.spotify.com/v1/tracks/6k8Lkgsd8Zh6Htdb5Zu4Hi,audio_features,spotify:track:6k8Lkgsd8Zh6Htdb5Zu4Hi,0.755,1
11,0.847,https://api.spotify.com/v1/audio-analysis/2aexHUGNNnRaqyBWJekBB5,0.615,227139,0.269,2aexHUGNNnRaqyBWJekBB5,0.129,0,0.0756,-13.939,1,0.0346,107.605,4,https://api.spotify.com/v1/tracks/2aexHUGNNnRaqyBWJekBB5,audio_features,spotify:track:2aexHUGNNnRaqyBWJekBB5,0.112,1
12,0.00827,https://api.spotify.com/v1/audio-analysis/70QkSJjn9CgMxIMnWwiilJ,0.664,195576,0.837,70QkSJjn9CgMxIMnWwiilJ,0.0,2,0.412,-6.095,1,0.0348,107.016,4,https://api.spotify.com/v1/tracks/70QkSJjn9CgMxIMnWwiilJ,audio_features,spotify:track:70QkSJjn9CgMxIMnWwiilJ,0.892,1
